length,size,datatype,metric,NeighNum,res_train (mean),res_test (mean),res_train,res_test,train_nums,test_nums,pred_nums
1000,10485760,['time'],canberra,6,0.7466666666666667,0.6628571428571428,224,464,[ 74 213  13],[163 503  34],[ 34 430   0]
1000,10485760,['time'],canberra,7,0.76,0.6671428571428571,228,467,[ 74 213  13],[163 503  34],[ 25 442   0]
1000,10485760,['time'],canberra,8,0.7266666666666667,0.6671428571428571,218,467,[ 74 213  13],[163 503  34],[ 21 446   0]
1000,10485760,['time'],canberra,9,0.73,0.6742857142857143,219,472,[ 74 213  13],[163 503  34],[ 28 444   0]
1000,10485760,['time'],canberra,10,0.73,0.68,219,476,[ 74 213  13],[163 503  34],[ 20 456   0]
1000,10485760,['time'],chebyshev,1,1.0,0.5642857142857143,300,395,[ 74 213  13],[163 503  34],[ 45 346   4]
1000,10485760,['time'],chebyshev,2,0.81,0.4928571428571429,243,345,[ 74 213  13],[163 503  34],[ 78 267   0]
1000,10485760,['time'],chebyshev,3,0.7733333333333333,0.6128571428571429,232,429,[ 74 213  13],[163 503  34],[ 41 388   0]
1000,10485760,['time'],chebyshev,4,0.7233333333333334,0.5914285714285714,217,414,[ 74 213  13],[163 503  34],[ 46 368   0]
1000,10485760,['time'],chebyshev,5,0.72,0.6328571428571429,216,443,[ 74 213  13],[163 503  34],[ 25 418   0]
1000,10485760,['time'],chebyshev,6,0.71,0.6485714285714286,213,454,[ 74 213  13],[163 503  34],[ 33 421   0]
1000,10485760,['time'],chebyshev,7,0.74,0.6585714285714286,222,461,[ 74 213  13],[163 503  34],[ 24 437   0]
1000,10485760,['time'],chebyshev,8,0.7266666666666667,0.6671428571428571,218,467,[ 74 213  13],[163 503  34],[ 23 444   0]
1000,10485760,['time'],chebyshev,9,0.72,0.6828571428571428,216,478,[ 74 213  13],[163 503  34],[ 22 456   0]
1000,10485760,['time'],chebyshev,10,0.7133333333333334,0.7071428571428572,214,495,[ 74 213  13],[163 503  34],[ 23 472   0]
1000,10485760,['time'],cityblock,1,1.0,0.6042857142857143,300,423,[ 74 213  13],[163 503  34],[ 57 363   3]
1000,10485760,['time'],cityblock,2,0.7766666666666666,0.5242857142857142,233,367,[ 74 213  13],[163 503  34],[ 82 285   0]
1000,10485760,['time'],cityblock,3,0.79,0.6285714285714286,237,440,[ 74 213  13],[163 503  34],[ 43 397   0]
1000,10485760,['time'],cityblock,4,0.75,0.6028571428571429,225,422,[ 74 213  13],[163 503  34],[ 51 371   0]
1000,10485760,['time'],cityblock,5,0.76,0.6557142857142857,228,459,[ 74 213  13],[163 503  34],[ 34 425   0]
1000,10485760,['time'],cityblock,6,0.7533333333333333,0.6671428571428571,226,467,[ 74 213  13],[163 503  34],[ 38 429   0]
1000,10485760,['time'],cityblock,7,0.7466666666666667,0.6628571428571428,224,464,[ 74 213  13],[163 503  34],[ 21 443   0]
1000,10485760,['time'],cityblock,8,0.7466666666666667,0.6828571428571428,224,478,[ 74 213  13],[163 503  34],[ 21 457   0]
1000,10485760,['time'],cityblock,9,0.7433333333333333,0.6742857142857143,223,472,[ 74 213  13],[163 503  34],[ 17 455   0]
1000,10485760,['time'],cityblock,10,0.74,0.6842857142857143,222,479,[ 74 213  13],[163 503  34],[ 13 466   0]
1000,10485760,['time'],euclidean,1,1.0,0.5914285714285714,300,414,[ 74 213  13],[163 503  34],[ 47 364   3]
1000,10485760,['time'],euclidean,2,0.7933333333333333,0.5214285714285715,238,365,[ 74 213  13],[163 503  34],[ 76 289   0]
1000,10485760,['time'],euclidean,3,0.7733333333333333,0.6314285714285715,232,442,[ 74 213  13],[163 503  34],[ 44 398   0]
1000,10485760,['time'],euclidean,4,0.7366666666666667,0.6042857142857143,221,423,[ 74 213  13],[163 503  34],[ 46 377   0]
1000,10485760,['time'],euclidean,5,0.7366666666666667,0.6514285714285715,221,456,[ 74 213  13],[163 503  34],[ 32 424   0]
1000,10485760,['time'],euclidean,6,0.7466666666666667,0.6571428571428571,224,460,[ 74 213  13],[163 503  34],[ 37 423   0]
1000,10485760,['time'],euclidean,7,0.7466666666666667,0.6714285714285714,224,470,[ 74 213  13],[163 503  34],[ 25 445   0]
1000,10485760,['time'],euclidean,8,0.7566666666666667,0.6871428571428572,227,481,[ 74 213  13],[163 503  34],[ 22 459   0]
1000,10485760,['time'],euclidean,9,0.7333333333333333,0.6771428571428572,220,474,[ 74 213  13],[163 503  34],[ 18 456   0]
1000,10485760,['time'],euclidean,10,0.73,0.69,219,483,[ 74 213  13],[163 503  34],[ 16 467   0]
1000,10485760,['time'],minkowski,1,1.0,0.5914285714285714,300,414,[ 74 213  13],[163 503  34],[ 47 364   3]
1000,10485760,['time'],minkowski,2,0.7933333333333333,0.5214285714285715,238,365,[ 74 213  13],[163 503  34],[ 76 289   0]
1000,10485760,['time'],minkowski,3,0.7733333333333333,0.6314285714285715,232,442,[ 74 213  13],[163 503  34],[ 44 398   0]
1000,10485760,['time'],minkowski,4,0.7366666666666667,0.6042857142857143,221,423,[ 74 213  13],[163 503  34],[ 46 377   0]
1000,10485760,['time'],minkowski,5,0.7366666666666667,0.6514285714285715,221,456,[ 74 213  13],[163 503  34],[ 32 424   0]
1000,10485760,['time'],minkowski,6,0.7466666666666667,0.6571428571428571,224,460,[ 74 213  13],[163 503  34],[ 37 423   0]
1000,10485760,['time'],minkowski,7,0.7466666666666667,0.6714285714285714,224,470,[ 74 213  13],[163 503  34],[ 25 445   0]
1000,10485760,['time'],minkowski,8,0.7566666666666667,0.6871428571428572,227,481,[ 74 213  13],[163 503  34],[ 22 459   0]
1000,10485760,['time'],minkowski,9,0.7333333333333333,0.6771428571428572,220,474,[ 74 213  13],[163 503  34],[ 18 456   0]
1000,10485760,['time'],minkowski,10,0.73,0.69,219,483,[ 74 213  13],[163 503  34],[ 16 467   0]
1000,33554432,['size' 'time'],braycurtis,1,1.0,0.6942857142857143,300,486,[ 69 221  10],[168 495  37],[ 17 469   0]
1000,33554432,['size' 'time'],braycurtis,2,0.9333333333333333,0.61,280,427,[ 69 221  10],[168 495  37],[ 42 385   0]
1000,33554432,['size' 'time'],braycurtis,3,0.8166666666666667,0.6985714285714286,245,489,[ 69 221  10],[168 495  37],[  5 484   0]
1000,33554432,['size' 'time'],braycurtis,4,0.8366666666666667,0.67,251,469,[ 69 221  10],[168 495  37],[ 22 447   0]
1000,33554432,['size' 'time'],braycurtis,5,0.7633333333333333,0.7028571428571428,229,492,[ 69 221  10],[168 495  37],[  4 488   0]
1000,33554432,['size' 'time'],braycurtis,6,0.7933333333333333,0.6871428571428572,238,481,[ 69 221  10],[168 495  37],[  6 475   0]
1000,33554432,['size' 'time'],braycurtis,7,0.7366666666666667,0.6985714285714286,221,489,[ 69 221  10],[168 495  37],[  1 488   0]
1000,33554432,['size' 'time'],braycurtis,8,0.7466666666666667,0.6914285714285714,224,484,[ 69 221  10],[168 495  37],[  3 481   0]
1000,33554432,['size' 'time'],braycurtis,9,0.7333333333333333,0.7,220,490,[ 69 221  10],[168 495  37],[  1 489   0]
1000,33554432,['size' 'time'],braycurtis,10,0.7333333333333333,0.6957142857142857,220,487,[ 69 221  10],[168 495  37],[  3 484   0]
1000,33554432,['size' 'time'],canberra,1,1.0,0.5085714285714286,300,356,[ 69 221  10],[168 495  37],[ 59 295   2]
1000,33554432,['size' 'time'],canberra,2,0.68,0.4185714285714286,204,293,[ 69 221  10],[168 495  37],[100 193   0]
1000,33554432,['size' 'time'],canberra,3,0.8066666666666666,0.6042857142857143,242,423,[ 69 221  10],[168 495  37],[ 35 388   0]
1000,33554432,['size' 'time'],canberra,4,0.7333333333333333,0.56,220,392,[ 69 221  10],[168 495  37],[ 55 337   0]
1000,33554432,['size' 'time'],canberra,5,0.7366666666666667,0.6828571428571428,221,478,[ 69 221  10],[168 495  37],[ 19 459   0]
1000,33554432,['size' 'time'],canberra,6,0.76,0.6357142857142857,228,445,[ 69 221  10],[168 495  37],[ 27 418   0]
1000,33554432,['size' 'time'],canberra,7,0.7333333333333333,0.69,220,483,[ 69 221  10],[168 495  37],[ 10 473   0]
1000,33554432,['size' 'time'],canberra,8,0.73,0.6671428571428571,219,467,[ 69 221  10],[168 495  37],[ 14 453   0]
1000,33554432,['size' 'time'],canberra,9,0.74,0.7014285714285714,222,491,[ 69 221  10],[168 495  37],[  8 483   0]
1000,33554432,['size' 'time'],canberra,10,0.7366666666666667,0.6871428571428572,221,481,[ 69 221  10],[168 495  37],[ 10 471   0]
1000,33554432,['size' 'time'],chebyshev,1,1.0,0.5857142857142857,300,410,[ 69 221  10],[168 495  37],[ 36 371   3]
1000,33554432,['size' 'time'],chebyshev,2,0.8033333333333333,0.5185714285714286,241,363,[ 69 221  10],[168 495  37],[ 72 291   0]
1000,33554432,['size' 'time'],chebyshev,3,0.8066666666666666,0.6157142857142858,242,431,[ 69 221  10],[168 495  37],[ 34 397   0]
1000,33554432,['size' 'time'],chebyshev,4,0.7833333333333333,0.6028571428571429,235,422,[ 69 221  10],[168 495  37],[ 41 380   1]
1000,33554432,['size' 'time'],chebyshev,5,0.76,0.6457142857142857,228,452,[ 69 221  10],[168 495  37],[ 25 427   0]
1000,33554432,['size' 'time'],chebyshev,6,0.7466666666666667,0.6442857142857142,224,451,[ 69 221  10],[168 495  37],[ 29 422   0]
1000,33554432,['size' 'time'],chebyshev,7,0.7333333333333333,0.6614285714285715,220,463,[ 69 221  10],[168 495  37],[ 14 449   0]
